record_type,ext_id,name,description,project_ext_id,summary_ext_id,predecessor_ext_id,successor_ext_id,task_ext_id,resource_ext_id,start_date,end_date,status,saved_date,duration,work,percent_complete,priority,is_critical,dep_type,lag,code,cost_per_hour,max_units,email,role,skills,unit,consumption_rate,fixed_cost,units,actual_work,cost,working_days,working_hours
HUMAN_RESOURCE,RH001,Engineer #1,,,,,,,,,,,,,,,,,,,RH001,83.94,1.0,user1@company.com,Developer,SQL;Redis;JavaScript;Django,,,,,,,,
HUMAN_RESOURCE,RH002,Engineer #2,,,,,,,,,,,,,,,,,,,RH002,30.25,1.0,user2@company.com,Architect,Linux;React,,,,,,,,
HUMAN_RESOURCE,RH003,Engineer #3,,,,,,,,,,,,,,,,,,,RH003,23.18,1.0,user3@company.com,Senior Developer,SQL;Kubernetes;Linux,,,,,,,,
HUMAN_RESOURCE,RH004,Engineer #4,,,,,,,,,,,,,,,,,,,RH004,22.65,1.0,user4@company.com,QA Engineer,SQL;TypeScript;Linux;AWS;Python,,,,,,,,
HUMAN_RESOURCE,RH005,Engineer #5,,,,,,,,,,,,,,,,,,,RH005,95.88,1.0,user5@company.com,Tech Lead,Docker;AWS;JavaScript;SQL;Redis,,,,,,,,
HUMAN_RESOURCE,RH006,Engineer #6,,,,,,,,,,,,,,,,,,,RH006,30.22,1.0,user6@company.com,Business Analyst,Docker;PostgreSQL,,,,,,,,
HUMAN_RESOURCE,RH007,Engineer #7,,,,,,,,,,,,,,,,,,,RH007,54.4,1.0,user7@company.com,DevOps Engineer,Django;TypeScript,,,,,,,,
HUMAN_RESOURCE,RH008,Engineer #8,,,,,,,,,,,,,,,,,,,RH008,73.62,1.0,user8@company.com,Business Analyst,Kubernetes;AWS,,,,,,,,
HUMAN_RESOURCE,RH009,Engineer #9,,,,,,,,,,,,,,,,,,,RH009,102.94,1.0,user9@company.com,Database Admin,Linux;SQL;Django;Java,,,,,,,,
HUMAN_RESOURCE,RH010,Engineer #10,,,,,,,,,,,,,,,,,,,RH010,24.58,1.0,user10@company.com,QA Engineer,Java;PostgreSQL;SQL;Redis,,,,,,,,
HUMAN_RESOURCE,RH011,Engineer #11,,,,,,,,,,,,,,,,,,,RH011,58.01,1.0,user11@company.com,UX Designer,JavaScript;Docker;PostgreSQL;SQL,,,,,,,,
HUMAN_RESOURCE,RH012,Engineer #12,,,,,,,,,,,,,,,,,,,RH012,87.02,1.0,user12@company.com,Senior Developer,Kubernetes;Django;SQL,,,,,,,,
HUMAN_RESOURCE,RH013,Engineer #13,,,,,,,,,,,,,,,,,,,RH013,36.34,1.0,user13@company.com,Business Analyst,Redis;Spring;Django;Kubernetes,,,,,,,,
HUMAN_RESOURCE,RH014,Engineer #14,,,,,,,,,,,,,,,,,,,RH014,41.96,1.0,user14@company.com,Product Manager,SQL;PostgreSQL,,,,,,,,
HUMAN_RESOURCE,RH015,Engineer #15,,,,,,,,,,,,,,,,,,,RH015,23.21,1.0,user15@company.com,Product Manager,AWS;Java;SQL;Linux;Docker,,,,,,,,
HUMAN_RESOURCE,RH016,Engineer #16,,,,,,,,,,,,,,,,,,,RH016,41.26,1.0,user16@company.com,UX Designer,Redis;Spring;TypeScript;JavaScript;AWS,,,,,,,,
HUMAN_RESOURCE,RH017,Engineer #17,,,,,,,,,,,,,,,,,,,RH017,33.96,1.0,user17@company.com,Architect,Django;Linux;React;PostgreSQL,,,,,,,,
HUMAN_RESOURCE,RH018,Engineer #18,,,,,,,,,,,,,,,,,,,RH018,59.94,1.0,user18@company.com,QA Engineer,Kubernetes;TypeScript;Java,,,,,,,,
HUMAN_RESOURCE,RH019,Engineer #19,,,,,,,,,,,,,,,,,,,RH019,95.58,1.0,user19@company.com,Senior Developer,Spring;JavaScript;FastAPI,,,,,,,,
HUMAN_RESOURCE,RH020,Engineer #20,,,,,,,,,,,,,,,,,,,RH020,88.05,1.0,user20@company.com,Database Admin,React;Redis,,,,,,,,
HUMAN_RESOURCE,RH021,Engineer #21,,,,,,,,,,,,,,,,,,,RH021,79.59,1.0,user21@company.com,UX Designer,Kubernetes;PostgreSQL;Python;Spring,,,,,,,,
HUMAN_RESOURCE,RH022,Engineer #22,,,,,,,,,,,,,,,,,,,RH022,92.07,1.0,user22@company.com,Architect,FastAPI;Spring;Docker;Java,,,,,,,,
